Year;1st;2nd;3rd;4th;5th;Categorie
1937; David Oistrakh; Ricardo Odnoposoff; Elizabeth Gilels; Boris Goldstein; Marina Kozolupova;Violon
1951; Leonid Kogan; Mikhail Vayman; Elise Cserfalvi; Theo Olof;Alexei Gorokhov[8];Violon
1955; Berl Senofsky; Julian Sitkovetsky; Pierre Doukan; Francine Dorfeuille-Boussinot; Victor Picaizen;Violon
1959; Jaime Laredo; Albert Markov; Joseph Silverstein; Vladimir Malinin; Boris Kouniev;Violon
1963; Alexei Mikhlin; Semyon Snitkovsky; Arnold Steinhardt; Zarius Shikhmurzayeva; Charles Castleman;Violon
1967; Philippe Hirschhorn; Stoïka Milanova; Gidon Kremer; Roman Nodel; Hidetaro Suzuki;Violon
1971; Miriam Fried; Andreï Korsakov; Hamao Fujiwara; /  Ana Chumachenco; Edith Volckaert;Violon
1976; Mikhaïl Bezverkhny; Irina Medvedeva; Dong-Suk Kang; Grigori Zhislin; Shizuka Ishikawa;Violon
1980; Yuzuko Horigome; Peter Zazofsky; Takashi Shimizu; Ruriko Tsukahara; Mihaela Martin;Violon
1985; Hu Nai-yuan; Ik-Hwan Bae; Henry Raudales; Hu Kun; Mi Kyung Lee;Violon
1989; Vadim Repin; Akiko Suwanai; Evgeny Bushkov; Erez Ofer;Ulrike-Anima Mathé;Violon
1993; Yayoi Toda; Liviu Prunaru; Keng-Yuen Tseng; Martin Beaver; Natalia Prischepenko;Violon
1997; Nikolaj Znaider; Albrecht Breuninger; Kristóf Baráti; Andrew Haveron; Natsumi Tamai;Violon
2001; Baiba Skride; Kam Ning; Barnabás Kelemen; Alina Pogostkin; Feng Ning;Violon
2005; Sergey Khachatryan; Yossif Ivanov; Sophia Jaffé; Saeka Matsuyama; Mikhail Ovrutsky;Violon
2009; Ray Chen; Lorenzo Gatto; Ilian Garnet; Suyoen Kim; Nikita Borisoglebsky;Violon
2012; Andrey Baranov; Tatsuki Narita; Hyun Su Shin; Esther Yoo; Tseng Yu-Chien;Violon
2015; Ji Young Lim; Oleksii Semenenko; William Hagen; Tobias Feldmann;/ Stephen Waarts;Violon
1938; Emil Gilels; Mary Johnstone (Moura Lympany); Jakov Flier; Lance Dossor; Nibya Mariño Bellini;Piano
1952; Leon Fleisher; Karl Engel; Maria Tipo; Frans Brouw; Lawrence Davis;Piano
1956; Vladimir Ashkenazy; John Browning; Andrzej Czajkowski; Cécile Ousset; Lazar Berman;Piano
1960; Malcolm Frager; Ronald Turini; Lee Luvisi; Alice Mitchenko; Gábor Gabos;Piano
1964; Evgeny Mogilevsky; Nikolai Petrov; Jean-Claude Vanden Eynden; Anton Kuerti; Richard Syracuse;Piano
1968; Ekaterina Novitskaya; Valère Kamychov; Jeffrey Siegel; Semion Kroutchine; André De Groote;Piano
1972; Valery Afanassiev; Jeffrey Swann; Joseph Alfidi; David Lively; Svetlana Navasardyan;Piano
1975; Mikhaïl Faerman; Stanislav Igolinsky; Youri Egorov; Larry Michael Graham; Sergueï Iuchkevitch;Piano
1978; Abdel Rahman El Bacha; Gregory Allen; Brigitte Engerer; Alan Weiss; Douglas Finch;Piano
1983; Pierre-Alain Volondat; Wolfgang Manz; Boyan Vodenitcharov; Daniel Blumenthal; Eliane Rodrigues;Piano
1987; Andrei Nikolsky; Akira Wakabayashi; Rolf Plagge; Johan Schmidt; Ikuyo Nakamichi;Piano
1991; Frank Braley; Stephen Prutsman; Brian Ganz; Hae-sun Paik; Alexander Melnikov;Piano
1995; Markus Groh; Laura Mikkola; Giovanni Bellucci; Yuliya Gorenman; Jong Hwa Park;Piano
1999; Vitaly Samoshko; Alexander Ghindin; Ning An; Shai Wosner; Roberto Cominati;Piano
2003; Severin von Eckardstein; Wen-Yu Shen;Unawarded after Dong-Hyek Lim refused it[9]; Roberto Giordano; Kazumasa Matsumoto;Piano
2007; Anna Vinnitskaya; Plamena Mangova; Francesco Piemontesi; Ilya Rashkovsky; Lim Hyo-Sun;Piano
2010; Denis Kozhukhin; Evgeni Bozhanov; Hannes Minnaar; Yury Favorin; Kim Tae-Hyung;Piano
2013; Boris Giltburg; Rémi Geniet; Mateusz Borowiak; Stanislav Khristenko; Zhang Zuo;Piano
2016; Lukáš Vondráček; Henry Kramer; Alexander Beyer; Chi Ho Han; Aljosa Jurinic;Piano
